,intrinsic_score
RN7SL2,0.999999999
HBA2,0.999999993
HBB,0.999999992
RPS27,0.99999999
RN7SL4P,0.999999989
TMSB10,0.999999987
RPL13A,0.999999987
HBA1,0.999999987
RPL19,0.999999986
HIST1H1E,0.999999986
RPLP2,0.999999985
RPL8,0.999999984
RPS15,0.999999984
RPS2,0.999999983
RPL13,0.999999981
FAU,0.999999981
RPS6,0.99999998
TPT1,0.99999998
S100A8,0.99999998
RPS8,0.99999998
7SK,0.999999978
RPL3,0.999999977
RPL26,0.999999977
RPL23AP42,0.999999977
HIST1H1C,0.999999976
RPLP0,0.999999976
RPS11,0.999999975
RPS23,0.999999975
RNY1,0.999999975
AC116533.1,0.999999975
RPLP1,0.999999974
RPL23A,0.999999974
RPL7A,0.999999974
RPL12,0.999999973
RPL18A,0.999999971
RPL13AP5,0.999999971
RPS17,0.99999997
RPS3A,0.99999997
RPL29,0.999999969
RPS12,0.999999969
RPS21,0.999999968
RPL18,0.999999968
RPL35,0.999999967
RPL11,0.999999966
EEF1B2,0.999999966
TXNIP,0.999999966
RPL36AL,0.999999962
HIST2H2AC,0.999999962
RPS16,0.999999961
HIST1H4C,0.999999961
RPL10A,0.999999961
RPS23P8,0.99999996
RPL21,0.99999996
RPS25,0.999999959
AIF1,0.999999958
RPL5,0.999999958
RPS27A,0.999999958
RPS18,0.999999955
RPL23,0.999999955
RPL27,0.999999955
BCYRN1,0.999999954
RPS28,0.999999954
RPS20,0.999999952
HSPA8,0.99999995
HNRNPA1,0.999999949
RPSA,0.999999947
RPL7,0.999999947
RACK1,0.999999944
RPL15,0.999999942
S100A9,0.99999994
RAB13,0.999999938
PNRC1,0.999999938
AC026366.1,0.999999936
NKG7,0.999999936
RPS13,0.999999934
COX7C,0.999999934
IGLC2,0.999999931
RPL28,0.999999929
RPL32,0.999999927
RPS7,0.999999926
RPL24,0.999999924
RPL9,0.999999924
HIST1H4L,0.999999922
RPS15A,0.999999921
S100A6,0.99999992
PFDN5,0.99999992
RPL9P9,0.99999992
RPL38,0.999999917
UBXN1,0.999999917
CCDC85B,0.999999914
RPS4X,0.999999913
RPS26,0.999999912
HIST1H4E,0.999999911
HIST1H4D,0.999999911
GIMAP4,0.999999911
TRMT112,0.999999909
RPL39,0.999999904
MIF,0.999999902
HIST1H2AJ,0.999999901
HIST1H1B,0.999999901
RPS3AP26,0.999999901
RPL37,0.9999999
RPL34,0.999999899
RPL6,0.999999898
HIST2H2AB,0.999999898
RPL18AP3,0.999999898
IFITM2,0.999999897
VIM,0.999999896
RPL14,0.999999896
AC022431.1,0.999999895
RPL4,0.999999895
AC073861.1,0.999999894
HLA-DRA,0.999999891
RPS5,0.99999989
DRAP1,0.999999888
JUND,0.999999888
CD52,0.999999888
TYROBP,0.999999887
HIST1H1D,0.999999887
