"","Intrinsic","Batch","spin_cpm","pdac_cpm"
"DUX4L27",1,7.89361066937937e-137,0.0492588820332477,0.252197537854141
"FBXW12",1,3.82282316990009e-135,0.0492588820332477,0.0674742398659879
"AC009646.2",1,1.01986495850177e-134,0.0492588820332477,0.00800747496462081
"NANOG",1,1.20920384197028e-134,0.0492588820332477,0.312795165101612
"AC106872.8",1,1.45429205879845e-134,0.0492588820332477,0.0925251962124905
"SAMD13",1,1.61386485928511e-134,0.0985177640664954,0.387591654138222
"AL391427.1",1,2.20867820088296e-134,0.0492588820332477,0.0097525122480142
"AL451069.3",1,2.50375225966269e-134,0.0492588820332477,0.012423126624184
"IQCA1L",1,2.52390246464655e-134,0.0492588820332477,0.0567252683624122
"RPL17P10",1,2.56528038492573e-134,0.0492588820332477,0.0273207966223807
"AL365209.1",1,3.01520129979249e-134,0.0492588820332477,1.03276040583736
"PHF24",1,3.05560582657377e-134,0.0492588820332477,0.437672566721023
"AC009570.1",1,3.05713222609721e-134,0.0492588820332477,0.00167208916264303
"NMNAT1P3",1,3.34353534222168e-134,0.0492588820332477,0.0555645749796199
"LINC00513",1,3.42545858152533e-134,0.0492588820332477,0.088951751453252
"AC008147.2",1,3.45160493455054e-134,0.0492588820332477,0.718333218916055
"HMGB1P44",1,3.45423521830861e-134,0.0492588820332477,0.0132555478740226
"AC063943.1",1,3.50508330225713e-134,0.0492588820332477,0.0705001103329786
"C6orf229",1,3.85715691815905e-134,0.0492588820332477,0
"KLF17P1",1,4.0609216254251e-134,0.0492588820332477,0.167635458031268
"MIR320B2",1,4.46173809587895e-134,0.0492588820332477,0
"TRIM80P",1,4.62412297570367e-134,0.0492588820332477,0.039989839164737
"AL356481.2",1,4.7307621618777e-134,0.0985177640664954,0.00459369485613852
"LINC02119",1,4.75707925494048e-134,0.0492588820332477,0.142867050460653
"AL354936.1",1,4.79278687877287e-134,0.0492588820332477,0.00459369485613852
"AC083843.3",1,4.80224529446776e-134,0.0492588820332477,0.0933333074398736
"FAM215A",1,4.90925159836986e-134,0.0492588820332477,0.0605529261134126
"AC005899.5",1,4.95556805571152e-134,0.0492588820332477,0
"AC010864.1",1,5.13799038235748e-134,0.0492588820332477,0.0150371324951641
"AL136309.2",1,5.24025717283638e-134,0.0492588820332477,0.187828225472213
"AL022326.2",1,5.37597596095369e-134,0.0492588820332477,0
"OR51I1",1,5.39001642921253e-134,0.0492588820332477,0.0972993910358654
"AL121890.5",1,5.69104388638269e-134,0.0985177640664954,0
"MARK2P9",1,5.71947545314535e-134,0.0492588820332477,0.0203418731698639
