"","Intrinsic","Batch"
"TSPAN6",0.34676696796626,0.65323303203374
"TNMD",0.532347296954906,0.467652703045094
"DPM1",0.822547193343547,0.177452806656453
"SCYL3",0.999999998078873,1.92112707369095e-09
"C1orf112",0.228016403673989,0.771983596326011
"FGR",0.89807119906922,0.10192880093078
"CFH",0.153863398015247,0.846136601984753
"FUCA2",0.499585174522802,0.500414825477198
"GCLC",0.878619359091442,0.121380640908558
"NFYA",0.999999950134922,4.98650782647731e-08
"STPG1",0.254674187874535,0.745325812125465
"NIPAL3",0.817743115669861,0.182256884330139
"LAS1L",0.999999244142112,7.55857887570615e-07
"ENPP4",0.999999300541544,6.99458455605138e-07
"SEMA3F",0.593926234962139,0.406073765037861
"CFTR",0.0270965567901291,0.972903443209871
"ANKIB1",0.61286927315198,0.38713072684802
"CYP51A1",0.999999999939397,6.06029517582481e-11
"KRIT1",0.616912074918842,0.383087925081158
"RAD52",0.999999999999998,2.36435339449473e-15
"MYH16",0.910901072000441,0.0890989279995585
"BAD",0.70852154318588,0.29147845681412
"LAP3",0.972533881193803,0.0274661188061971
"CD99",NA,NA
"HS3ST1",0.999999998315824,1.68417580893943e-09
"AOC1",0.155230448244177,0.844769551755823
"WNT16",0.999999999993211,6.78888761328512e-12
"HECW1",0.461307550949931,0.538692449050069
"MAD1L1",0.999996257348041,3.74265195887911e-06
"LASP1",0.920220599243455,0.0797794007565448
"SNX11",0.863022684457998,0.136977315542002
"TMEM176A",0.999999520720225,4.79279775246544e-07
"M6PR",0.972123003880484,0.0278769961195163
"KLHL13",0.99979899275437,0.000201007245629512
"CYP26B1",0.143204471138598,0.856795528861402
"ICA1",0.267982351912062,0.732017648087938
"DBNDD1",0.451395289983809,0.548604710016191
"ALS2",0.964302396331428,0.0356976036685719
"CASP10",0.980907450208012,0.0190925497919876
"CFLAR",0.656339934611419,0.343660065388581
"TFPI",0.176272763544945,0.823727236455055
"NDUFAF7",0.999683500086206,0.00031649991379361
"RBM5",0.800495527730975,0.199504472269025
"MTMR7",1.89905486945992e-137,1
"SLC7A2",1,9.68582681449465e-24
