"","SP01","SP02","SP03","SP04","SP05","SP06","SP07","SP08","SP09","SP10","SP11","SP12","SP13","SP14","SP15","SP16","SP17","SP18","SP19","SP20","SP21","SP22","SP23","SP24","SP25","SP26","SP27","SP28","SP29","SP30","SP31","SP32","SP33","SP34","SP35","SP36","SP37","SP38","SP39","SP40","SP41","SP42","SP43","SP44","SP45","SP46","SP47","SP48","SP49","SP50","SP51","SP52","SP53","SP54","SP55","SP56","SP57","SP58","SP59","SP60","SP61","SP62","SP63","SP64","SP65","SP66","SP67","SP68","SP69","SP70"
"5S_rRNA",0,0,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5_8S_rRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7SK",14.2857142857143,34.5714285714286,23,11.2857142857143,27.8571428571429,28.2857142857143,39.5714285714286,24.2857142857143,3.42857142857143,11.1428571428571,33.8571428571429,5.57142857142857,10.5714285714286,6.57142857142857,2.42857142857143,8.14285714285714,14.7142857142857,25,6.71428571428571,39.1428571428571,23.8571428571429,6.57142857142857,4.42857142857143,4.57142857142857,5,32.5714285714286,1.85714285714286,23.7142857142857,5.57142857142857,28,25.2857142857143,7,6.14285714285714,14.1428571428571,2.85714285714286,18.8571428571429,11.7142857142857,11.8571428571429,7.42857142857143,30.1428571428571,22.1428571428571,6.42857142857143,7.28571428571429,46.1428571428571,5.42857142857143,40.4285714285714,20.2857142857143,4.71428571428571,10.4285714285714,14.7142857142857,12.8571428571429,30.5714285714286,31.5714285714286,15.5714285714286,37,9.57142857142857,16.2857142857143,11.4285714285714,9.57142857142857,23.2857142857143,31,7.57142857142857,15.4285714285714,36.7142857142857,46.2857142857143,12.8571428571429,13.4285714285714,7.28571428571429,32.1428571428571,6.14285714285714
"A1BG",0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,3,0,2,0,0,0
"A1BG-AS1",1,4,0,2,2,1,6,0,0,0,3,1,0,0,0,0,0,1,0,3,1,0,0,0,0,7,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,4,1,0,0,0,0,1,5,0,5,0,0,0,1,0,0,0,0,7,8,0,1,0,4,0
"A1CF",2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"A2M",54,10,12,14,11,8,6,10,9,37,10,10,12,7,2,6,56,8,0,11,13,1,1,23,6,6,0,9,6,3,0,0,8,23,2,18,21,36,0,4,8,7,7,10,9,6,8,3,9,9,18,6,40,4,17,23,1,40,26,12,5,9,20,48,11,16,7,22,5,18
"A2M-AS1",0,2,1,0,4,0,0,0,0,0,1,0,1,0,0,0,0,2,0,6,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0
"A2ML1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2ML1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2ML1-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2MP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"A3GALT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A4GALT",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,2,0,1,2,0,0,2,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,1,0,1,0,2,0,0,0
"A4GNT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAAS",1,4,6,5,6,7,5,7,2,2,5,0,0,0,0,4,1,2,2,4,6,0,0,4,0,13,0,4,0,1,2,0,2,2,4,0,9,3,1,4,1,1,0,9,2,18,7,0,4,3,0,1,2,0,9,5,2,4,7,0,3,0,1,4,17,0,5,4,6,0
"AACS",0,2,2,0,2,10,16,2,1,6,4,1,1,0,0,0,4,4,0,6,6,0,0,0,0,15,0,3,1,3,2,0,2,0,0,2,0,2,0,4,3,0,0,28,0,26,6,0,0,0,2,4,7,0,23,0,2,10,0,3,5,0,5,1,30,0,2,5,9,0
"AACSP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
