ensemble,gene,exon length,transcript length,gene length
ENSG00000000003,TSPAN6,8713,33869,12882
ENSG00000000005,TNMD,1871,18990,15083
ENSG00000000419,DPM1,5814,127979,23688
ENSG00000000457,SCYL3,15922,195609,44636
ENSG00000000460,C1orf112,21720,483291,192073
ENSG00000000938,FGR,12082,88027,23213
ENSG00000000971,CFH,13817,241180,95626
ENSG00000001036,FUCA2,3727,31794,16879
ENSG00000001084,GCLC,20896,337212,119629
ENSG00000001167,NFYA,5452,51998,27031
ENSG00000001460,STPG1,20141,344944,59935
ENSG00000001461,NIPAL3,14909,220973,57182
ENSG00000001497,LAS1L,12684,91899,22193
ENSG00000001561,ENPP4,4647,16706,16706
ENSG00000001617,SEMA3F,15382,177970,34030
ENSG00000001626,CFTR,15046,613342,250187
ENSG00000001629,ANKIB1,11194,253428,155150
ENSG00000001630,CYP51A1,6767,68928,30801
ENSG00000001631,KRIT1,39441,448140,47197
ENSG00000002016,RAD52,27252,572975,77976
ENSG00000002079,MYH16,9496,110043,72301
ENSG00000002330,BAD,4456,70499,14874
ENSG00000002549,LAP3,12415,180458,30780
ENSG00000002586,CD99,9870,398068,100260
ENSG00000002586,NA,9870,398068,0
ENSG00000002587,HS3ST1,9012,95260,36615
ENSG00000002726,AOC1,19045,120814,36877
ENSG00000002745,WNT16,4369,26192,15737
ENSG00000002746,HECW1,23445,1651193,453402
ENSG00000002822,MAD1L1,22241,2672849,417450
ENSG00000002834,LASP1,18883,351573,51911
ENSG00000002919,SNX11,15188,155565,19717
ENSG00000002933,TMEM176A,11215,31801,4717
ENSG00000003056,M6PR,12908,61339,9592
ENSG00000003096,KLHL13,35238,1436718,219527
ENSG00000003137,CYP26B1,14208,73261,18800
ENSG00000003147,ICA1,22632,1697809,149503
ENSG00000003249,DBNDD1,11838,58282,15263
ENSG00000003393,ALS2,24464,343909,80635
ENSG00000003400,CASP10,27170,356086,46525
ENSG00000003402,CFLAR,42862,555773,60583
ENSG00000003436,TFPI,23148,789487,101530
ENSG00000003509,NDUFAF7,15100,158542,21772
ENSG00000003756,RBM5,28245,201204,30113
ENSG00000003987,MTMR7,10199,435855,115498
ENSG00000003989,SLC7A2,32588,278594,73485
ENSG00000004059,ARF5,4731,13994,3360
ENSG00000004139,SARM1,18775,121835,39693
ENSG00000004142,POLDIP2,3623,20147,10345
ENSG00000004399,PLXND1,21192,97957,51643
ENSG00000004455,AK2,11930,261192,73056
ENSG00000004468,CD38,9923,256056,74955
ENSG00000004478,FKBP4,6864,19954,10470
ENSG00000004487,KDM1A,10845,149829,64241
ENSG00000004534,RBM6,31232,1499602,160038
ENSG00000004660,CAMKK1,13372,107104,34576
ENSG00000004700,RECQL,10519,146205,32758
ENSG00000004766,VPS50,28008,857813,128781
ENSG00000004776,HSPB6,3794,7598,3510
ENSG00000004777,ARHGAP33,19962,72506,14290
ENSG00000004779,NDUFAB1,3445,69125,15354
ENSG00000004799,PDK4,7371,26164,12992
ENSG00000004809,SLC22A16,11093,258840,51954
ENSG00000004838,ZMYND10,10441,24614,5742
ENSG00000004846,ABCB5,15252,341345,161831
ENSG00000004848,ARX,2871,12254,12726
ENSG00000004864,SLC25A13,9354,619113,201927
ENSG00000004866,ST7,39130,4660982,276865
ENSG00000004897,CDC27,25121,643001,71719
ENSG00000004939,SLC4A1,11565,59429,19756
ENSG00000004948,CALCR,15239,764078,150243
ENSG00000004961,HCCS,4328,32828,11777
ENSG00000004975,DVL2,15840,51202,9204
ENSG00000005001,PRSS22,6649,26155,5443
ENSG00000005007,UPF1,22794,124883,36298
ENSG00000005020,SKAP2,8895,1043437,328177
ENSG00000005022,SLC25A5,2953,7134,2919
ENSG00000005059,MCUB,5611,475395,128521
ENSG00000005073,HOXA11,4427,7414,3713
ENSG00000005075,POLR2J,1709,10757,5789
ENSG00000005100,DHX33,14812,121435,28148
ENSG00000005102,MEOX1,7183,83453,21566
ENSG00000005108,THSD7A,23961,1140235,461841
ENSG00000005156,LIG3,25664,144126,29249
ENSG00000005175,RPAP3,10756,141160,44812
ENSG00000005187,ACSM3,16315,503513,187338
ENSG00000005189,REXO5,20444,390560,43239
ENSG00000005194,CIAPIN1,15997,204106,19359
ENSG00000005206,SPPL2B,17976,138258,26191
ENSG00000005238,FAM214B,24785,81347,12229
ENSG00000005243,COPZ2,5941,70880,11863
ENSG00000005249,PRKAR2B,4975,243276,117162
ENSG00000005302,MSL3,21824,134920,17594
ENSG00000005339,CREBBP,27844,395315,155672
ENSG00000005379,TSPOAP1,24244,82033,27532
ENSG00000005381,MPO,4815,17763,11079
ENSG00000005421,PON1,4733,63344,27031
ENSG00000005436,GCFC2,20887,298438,58989
ENSG00000005448,WDR54,12837,37659,4077
ENSG00000005469,CROT,10924,189825,54114
ENSG00000005471,ABCB4,20936,347993,78738
ENSG00000005483,KMT2E,45877,861557,100182
ENSG00000005486,RHBDD2,13083,115557,46324
ENSG00000005513,SOX8,7197,10063,5171
ENSG00000005700,IBTK,40832,556909,77771
ENSG00000005801,ZNF195,32908,486591,39961
ENSG00000005810,MYCBP2,39977,760039,282395
ENSG00000005812,FBXL3,9166,99211,34597
ENSG00000005844,ITGAL,20720,286993,50527
ENSG00000005882,PDK2,16632,133488,17415
ENSG00000005884,ITGA3,26708,168587,34513
ENSG00000005889,ZFX,30777,449132,67082
ENSG00000005893,LAMP2,9021,130650,41538
ENSG00000005961,ITGA2B,11009,45824,17325
ENSG00000005981,ASB4,5944,114969,61788
ENSG00000006007,GDE1,8300,69437,20456
ENSG00000006015,C19orf60,10026,26588,3651
ENSG00000006016,CRLF1,4239,48997,35521
ENSG00000006025,OSBPL7,22973,81467,14462
ENSG00000006042,TMEM98,11103,95573,17196
ENSG00000006047,YBX2,10989,27088,6363
ENSG00000006059,KRT33A,1280,4720,4720
ENSG00000006062,MAP3K14,13768,130827,53919
ENSG00000006071,ABCC8,26166,400638,83960
ENSG00000006116,CACNG3,3084,107248,107248
ENSG00000006118,TMEM132A,20571,63823,12696
ENSG00000006125,AP2B1,37506,1344581,148363
ENSG00000006128,TAC1,4329,32337,8564
ENSG00000006194,ZNF263,15947,83335,37601
ENSG00000006210,CX3CL1,12983,43177,12590
ENSG00000006282,SPATA20,37764,104253,12794
ENSG00000006283,CACNA1G,222731,2086453,66406
ENSG00000006327,TNFRSF12A,6094,14160,3938
ENSG00000006377,DLX6,4574,11803,5491
ENSG00000006432,MAP3K9,37142,399531,87008
ENSG00000006451,RALA,5537,259194,84641
ENSG00000006453,BAIAP2L1,6688,288427,109417
ENSG00000006459,KDM7A,17804,127814,92289
ENSG00000006468,ETV1,53673,1538506,100197
ENSG00000006530,AGK,11418,580464,104055
ENSG00000006534,ALDH3B1,19205,137903,20704
ENSG00000006555,TTC22,9136,49101,21555
ENSG00000006576,PHTF2,33863,1180240,158711
ENSG00000006606,CCL26,1222,23087,20363
ENSG00000006607,FARP2,25651,617876,138598
ENSG00000006611,USH1C,15580,286206,50521
ENSG00000006625,GGCT,8163,114079,8223
ENSG00000006634,DBF4,12653,162650,33325
ENSG00000006638,TBXA2R,6375,32542,12334
ENSG00000006652,IFRD1,20959,288432,58049
ENSG00000006659,LGALS14,2004,14880,5138
ENSG00000006695,COX10,6619,422864,139181
ENSG00000006704,GTF2IRD1,19089,651077,148814
ENSG00000006712,PAF1,7690,20140,5343
ENSG00000006715,VPS41,15869,932453,209431
ENSG00000006740,ARHGAP44,26998,1206367,202104
ENSG00000006744,ELAC2,30701,256966,25796
ENSG00000006747,SCIN,12715,368312,89602
ENSG00000006756,ARSD,11478,90179,25381
ENSG00000006757,PNPLA4,9309,112838,29492
ENSG00000006788,MYH13,18083,210863,72265
ENSG00000006831,ADIPOR2,7242,253387,100104
ENSG00000006837,CDKL3,12237,568928,84697
ENSG00000007001,UPP2,6540,335779,259452
ENSG00000007038,PRSS21,7687,40098,9124
ENSG00000007047,MARK4,17932,447608,225995
ENSG00000007062,PROM1,34204,852722,121302
ENSG00000007080,CCDC124,3167,30855,10975
ENSG00000007129,CEACAM21,7381,107127,37326
ENSG00000007168,PAFAH1B1,15613,562211,92405
ENSG00000007171,NOS2,7467,85296,43733
ENSG00000007174,DNAH9,43184,1065979,371317
ENSG00000007202,KIAA0100,31089,126858,31014
ENSG00000007216,SLC13A2,14998,161190,24488
ENSG00000007237,GAS7,37560,1795392,287942
ENSG00000007255,TRAPPC6A,3180,74494,15309
ENSG00000007264,MATK,18189,152545,24159
ENSG00000007306,CEACAM7,4774,62576,33669
ENSG00000007312,CD79B,5032,13794,3614
ENSG00000007314,SCN4A,16701,72798,34364
ENSG00000007341,ST7L,42699,1326736,97307
ENSG00000007350,TKTL1,8426,97260,34679
ENSG00000007372,PAX6,53366,435024,33283
ENSG00000007376,RPUSD1,12704,24404,3423
ENSG00000007384,RHBDF1,13132,64552,18296
ENSG00000007392,LUC7L,23638,476831,40494
ENSG00000007402,CACNA2D2,33358,933533,141445
ENSG00000007516,BAIAP3,30621,114555,15840
ENSG00000007520,TSR3,1882,4718,2671
ENSG00000007541,PIGQ,21982,105917,17141
ENSG00000007545,CRAMP1,18709,153827,65583
ENSG00000007866,TEAD3,6337,51271,23479
ENSG00000007908,SELE,16968,84763,42064
ENSG00000007923,DNAJC11,14556,454448,67756
ENSG00000007933,FMO3,6046,90054,26942
ENSG00000007944,MYLIP,4449,36833,19123
ENSG00000007952,NOX1,7990,129844,31021
ENSG00000007968,E2F2,5732,27827,24790
ENSG00000008018,PSMB1,2856,33443,18224
ENSG00000008056,SYN1,6348,95904,48045
ENSG00000008083,JARID2,11828,555945,275744
ENSG00000008086,CDKL5,25729,1081879,228046
ENSG00000008118,CAMK1G,6394,90764,30221
ENSG00000008128,CDK11A,30996,218305,21594
ENSG00000008130,NADK,20305,191567,29225
ENSG00000008196,TFAP2B,7392,40926,28890
ENSG00000008197,TFAP2D,2394,92392,59160
ENSG00000008226,DLEC1,19393,292064,84820
ENSG00000008256,CYTH3,14052,343227,110868
ENSG00000008277,ADAM22,33133,1782196,268746
ENSG00000008282,SYPL1,7486,73415,22073
ENSG00000008283,CYB561,28017,177482,14074
